date,action,symbol,shares,price,amount
2024-06-06,SELL,VPB,8067900,17.309999465942383,139445861.67423964
2024-06-06,BUY,LPB,3661700,19.649999618530273,72060332.20857707
2024-06-06,BUY,STB,2343700,30.700000762939453,72059519.17578335
2024-06-06,BUY,BSR,5049400,14.25,72061880.925
2024-06-07,SELL,STB,2343700,30.75,71960671.8375
2024-06-07,BUY,GAS,3726600,68.8499984741211,256961268.92013016
2024-06-10,SELL,BSR,5049400,14.069999694824219,70938488.87435685
2024-06-10,BUY,VNM,6459900,59.540000915527344,385199385.59208643
2024-06-11,SELL,MWG,2303000,60.93000030517578,140111308.0167656
2024-06-11,SELL,PLX,1264300,41.79999923706055,52768467.42686253
2024-06-11,SELL,VNM,6459900,58.91999816894531,380046370.2273125
2024-06-11,BUY,CTG,1051400,22.780000686645508,23986819.061022
2024-06-11,BUY,BSR,1716900,13.949999809265137,23986680.804536104
2024-06-12,SELL,CTG,1051400,22.989999771118164,24135428.230714608
2024-06-12,SELL,BSR,1716900,13.949999809265137,23914828.540518522
2024-06-12,BUY,VPB,1702300,18.559999465942383,31642079.12151003
2024-06-12,BUY,FPT,286200,110.37000274658203,31635276.628250886
2024-06-12,BUY,PLX,757600,41.70000076293945,31639308.458869934
2024-06-13,SELL,VPB,1702300,18.600000381469727,31615286.478401855
2024-06-13,BUY,BSR,41009200,13.949999809265137,572936449.676383
2024-06-14,SELL,GAS,3726600,67.73999786376953,252061216.22506487
2024-06-14,SELL,FPT,286200,109.54000091552734,31303322.739630893
2024-06-14,SELL,LPB,3661700,20.709999084472656,75720052.94214211
2024-06-14,BUY,SSI,637900,25.06999969482422,16016141.034536364
2024-06-14,BUY,SAB,299400,53.400001525878906,16011942.397533419
2024-06-14,BUY,HDB,1081300,14.789999961853027,16016415.599189807
2024-06-17,SELL,SSI,637900,24.93000030517578,15878992.923879623
2024-06-17,SELL,SAB,299400,53.56999969482422,16014799.621767426
2024-06-17,SELL,HDB,1081300,14.539999961853027,15698518.805813551
2024-06-17,BUY,GAS,158100,66.54000091552734,10535754.105961991
2024-06-17,BUY,VNM,180000,58.470001220703125,10540387.120056154
2024-06-17,BUY,VIB,697000,15.100000381469727,10540487.316283226
2024-06-18,SELL,BSR,41009200,14.619999885559082,598655167.5579093
2024-06-18,SELL,VNM,180000,58.380001068115234,10492637.591972351
2024-06-18,SELL,PLX,757600,39.66999816894531,30008909.62687378
2024-06-18,SELL,VIB,697000,15.100000381469727,10508913.215485573
2024-06-18,BUY,FPT,837500,107.02999877929688,89772080.41362762
2024-06-18,BUY,LPB,4391800,20.40999984741211,89771092.28585932
2024-06-18,BUY,CTG,4037700,22.200000762939453,89771398.49514142
2024-06-18,BUY,SAB,1673200,53.56999969482422,89767773.47461395
2024-06-19,SELL,LPB,4391800,20.3700008392334,89326778.23121662
2024-06-19,SELL,CTG,4037700,22.299999237060547,89905645.85910016
2024-06-19,SELL,SAB,1673200,52.220001220703125,87243444.28341675
2024-06-19,BUY,SHB,1881500,8.420000076293945,15865993.48876238
2024-06-19,BUY,HPG,726000,21.81999969482422,15865081.758110046
2024-06-20,SELL,HPG,726000,21.81999969482422,15817557.79877472
2024-06-20,BUY,TCB,14043400,23.65999984741211,332765242.11993295
2024-06-20,BUY,LPB,16311600,20.3700008392334,332765706.6477734
2024-06-21,SELL,TCB,14043400,23.3799991607666,327842178.19398826
2024-06-21,SELL,FPT,837500,113.80000305175781,95164541.3020134
2024-06-21,SELL,SHB,1881500,8.390000343322754,15762106.967492819
2024-06-21,BUY,SSI,3596600,24.65999984741211,88825193.6843792
2024-06-21,BUY,BSR,6121000,14.489999771118164,88826328.5319128
2024-06-21,BUY,VIB,5944500,14.920000076293945,88824978.36420965
2024-06-24,SELL,GAS,158100,65.58999633789062,10354223.753388979
2024-06-24,SELL,SSI,3596600,24.030000686645508,86296661.01888485
2024-06-24,SELL,VIB,5944500,14.579999923706055,86540803.33215094
2024-06-24,BUY,GVR,163300,32.2400016784668,5272689.462504769
2024-06-24,BUY,FPT,47600,110.45999908447266,5265782.80035553
2024-06-24,BUY,MSN,71400,73.69999694824219,5270073.05177765
2024-06-25,SELL,GVR,163300,32.81999969482422,5351466.691239548
2024-06-25,SELL,MSN,71400,73.9000015258789,5268545.418784332
2024-06-25,SELL,BSR,6121000,13.710000038146973,83793031.86814737
2024-06-25,BUY,VRE,6856300,21.299999237060547,146258243.5462118
2024-06-25,BUY,SSB,9446300,15.460000038146973,146258858.05788827
2024-06-25,BUY,HPG,6846700,21.329999923706055,146259170.6433547
2024-06-26,SELL,VRE,6856300,20.799999237060547,142397118.21690464
2024-06-26,SELL,LPB,16311600,21.649999618530273,352616414.576952
2024-06-26,BUY,SAB,1809600,50.540000915527344,91594371.43522339
2024-06-27,SELL,SSB,9446300,15.199999809265137,143368382.56096387
