date,action,symbol,shares,price,amount
2024-01-25,BUY,ACB,1866400,18.110000610351562,33851205.8968689
2024-01-26,SELL,ACB,1866400,18.459999084472656,34402061.67782288
2024-01-26,SELL,TCB,3420500,16.3799991607666,55943745.44870806
2024-01-26,SELL,VPB,1893600,17.940000534057617,33920228.233774565
2024-01-26,BUY,VCB,1103400,61.099998474121094,67518864.92381974
2024-01-26,BUY,VHM,1605100,42.0,67515321.3
2024-01-26,BUY,MSN,1024500,65.80000305175781,67513221.28121567
2024-01-29,SELL,MSN,1024500,65.5999984741211,67106387.639081955
2024-01-29,SELL,SSI,2509000,23.579999923706055,59073476.47886562
2024-01-29,BUY,VRE,6173300,23.299999237060547,144053642.1180811
2024-01-29,BUY,ACB,7894600,18.219999313354492,144055365.98907718
2024-01-29,BUY,HPG,7602500,18.920000076293945,144055059.53089476
2024-01-30,SELL,VRE,6173300,23.399999618530273,144238534.81860533
2024-01-30,SELL,VCB,1103400,60.43000030517578,66578444.64322586
2024-01-30,SELL,ACB,7894600,18.219999313354492,143623847.16933957
2024-01-30,SELL,HPG,7602500,18.920000076293945,143623541.62915468
2024-01-30,BUY,TPB,2350000,13.199999809265137,31066529.55110073
2024-01-30,BUY,VJC,293700,105.5999984741211,31061241.631177142
2024-01-30,BUY,MSN,469300,66.0999984741211,31067260.377830885
2024-01-31,SELL,TPB,2350000,12.880000114440918,30222598.268532753
2024-01-31,SELL,VJC,293700,104.5999984741211,30674938.022521593
2024-01-31,SELL,FPT,492300,69.0999984741211,33966902.3549366
2024-01-31,BUY,VRE,1748500,22.450000762939453,39312707.07350063
2024-01-31,BUY,VCB,667900,58.77000045776367,39311362.03069897
2024-01-31,BUY,BSR,3489300,11.25,39313506.9375
2024-01-31,BUY,HPG,2093500,18.75,39312004.68750001
2024-02-01,SELL,BID,854200,38.630001068115234,32948250.29201546
2024-02-01,SELL,VRE,1748500,22.649999618530273,39544119.04650068
2024-02-01,BUY,GVR,10626500,23.399999618530273,249033086.09023142
2024-02-02,SELL,BSR,3489300,11.1899995803833,38986697.637527704
2024-02-02,SELL,MSN,469300,65.4000015258789,30646182.38502083
2024-02-02,BUY,TPB,9069800,12.619999885559082,114632566.27448684
2024-02-02,BUY,VPB,6701500,17.079999923706055,114633311.9179492
2024-02-02,BUY,SSI,4735700,24.170000076293945,114633562.16534719
2024-02-05,SELL,TPB,9069800,13.09000015258789,118545597.85886574
2024-02-05,SELL,VHM,1605100,41.25,66111059.4375
2024-02-05,SELL,MBB,2263900,14.630000114440918,33071175.97319417
2024-02-05,BUY,ACB,1236000,19.520000457763672,24162910.646644596
2024-02-05,BUY,VRE,1106800,21.799999237060547,24164431.51431198
2024-02-06,SELL,ACB,1236000,19.549999237060547,24127553.358421326
2024-02-06,SELL,CTG,2448600,23.610000610351562,57724730.323265076
2024-02-06,SELL,VRE,1106800,21.700000762939453,23981534.503154755
2024-02-06,SELL,GVR,10626500,24.6200008392334,261232002.25973654
2024-02-06,BUY,SHB,2232600,8.390000343322754,18759612.038652137
2024-02-06,BUY,VJC,179200,104.5,18754489.6
2024-02-06,BUY,TPB,1434200,13.0600004196167,18758748.580716994
2024-02-06,BUY,VNM,316700,59.130001068115234,18754561.045279503
2024-02-07,SELL,TPB,1434200,13.34000015258789,19103529.87651329
2024-02-07,SELL,VPB,6701500,17.799999237060547,119107764.84483051
2024-02-07,SELL,VNM,316700,59.130001068115234,18698381.631264687
2024-02-07,BUY,ACB,3002800,19.65999984741211,59123600.1131218
2024-02-07,BUY,CTG,2423400,24.360000610351562,59122576.51734467
2024-02-07,BUY,MBB,3941000,14.979999542236328,59124732.4632473
2024-02-15,SELL,SHB,2232600,8.640000343322754,19260730.269352626
2024-02-15,SELL,VJC,179200,104.5,18698310.400000002
2024-02-15,SELL,HPG,2093500,19.389999389648438,40532074.27664566
2024-02-15,SELL,PLX,1052300,32.869998931884766,34537216.22620831
2024-02-15,BUY,BSR,7525300,11.3100004196167,85238812.87697817
2024-02-15,BUY,TCB,4789600,17.770000457763672,85238860.98379365
2024-02-15,BUY,MWG,1898100,44.84000015258789,85238470.49606152
