date,action,symbol,shares,price,amount
2025-05-07,BUY,VRE,10233300,24.899999618530273,255191379.8454503
2025-05-09,SELL,STB,1448600,39.75,57495477.225
2025-05-09,BUY,VIC,5712700,38.25,218838541.1625
2025-05-12,SELL,MBB,7190200,17.850000381469727,128152555.13372937
2025-05-12,SELL,VIC,5712700,39.70000076293945,226454003.06690657
2025-05-12,BUY,TCB,2596700,28.049999237060547,72946689.16840345
2025-05-12,BUY,TPB,5555800,13.109999656677246,72945790.8967063
2025-05-13,SELL,TCB,2596700,28.049999237060547,72728176.86934681
2025-05-13,SELL,TPB,5555800,12.960000038146973,71895163.45961905
2025-05-13,BUY,SAB,976900,44.439998626708984,43478554.81041966
2025-05-13,BUY,VPL,507700,85.5,43473462.525000006
2025-05-13,BUY,MSN,699100,62.099998474121094,43479230.09665795
2025-05-14,SELL,SAB,976900,44.65999984741211,43562911.320160486
2025-05-14,SELL,MSN,699100,62.29999923706055,43488598.57242909
2025-05-14,BUY,VPB,9792200,18.079999923706055,177308539.71579382
2025-05-14,BUY,VIC,4437100,39.900001525878906,177305857.215633
2025-05-16,SELL,VPL,507700,101.0,51200783.45
2025-05-16,SELL,VPB,9792200,17.739999771118164,173453055.3201052
2025-05-16,BUY,SAB,2538700,45.560001373291016,115836670.24960348
2025-05-16,BUY,TCB,4116200,28.100000381469727,115838719.40256101
2025-05-19,SELL,SAB,2538700,44.84000015258789,113664555.42479382
2025-05-19,SELL,VIC,4437100,42.79999923706055,189623014.79983923
2025-05-20,SELL,TCB,4116200,29.530000686645508,121369061.74313068
2025-05-20,SELL,VRE,10233300,25.799999237060547,263623103.49432278
2025-05-20,BUY,MWG,879200,63.779998779296875,56159487.98914795
2025-05-20,BUY,HPG,2940700,19.06999969482422,56163266.824723445
2025-05-20,BUY,VJC,635100,88.30000305175781,56163450.936078645
2025-05-20,BUY,VIC,1225800,45.75,56164470.525000006
2025-05-21,SELL,MWG,879200,63.38999938964844,55648888.732183844
2025-05-21,SELL,VJC,635100,88.30000305175781,55995212.940264136
2025-05-21,SELL,VIC,1225800,46.75,57220190.775000006
2025-05-21,BUY,TCB,3424200,29.479999542236328,101096832.55417442
2025-05-21,BUY,VNM,1906000,52.959999084472656,101093170.89238739
2025-05-21,BUY,TPB,7843500,12.869999885559082,101097262.86853623
2025-05-22,SELL,VHM,924100,68.0999984741211,62836811.777050406
2025-05-22,SELL,VNM,1906000,52.58000183105469,100067157.26475525
2025-05-22,SELL,HPG,2940700,19.06999969482422,55995029.38041573
2025-05-22,SELL,TPB,7843500,12.680000305175781,99306399.02005577
2025-05-22,BUY,VPL,1044600,92.0,96247354.80000001
2025-05-22,BUY,HDB,5653200,17.0,96248556.60000001
2025-05-22,BUY,VIC,2077900,46.25,96247029.3125
2025-05-22,BUY,VRE,3791100,25.350000381469727,96248543.02585916
2025-05-23,SELL,VPL,1044600,90.30000305175781,94185892.11308442
2025-05-23,SELL,HDB,5653200,17.040000915527344,96186037.3758957
2025-05-23,SELL,VIC,2077900,46.5,96477416.47500001
2025-05-23,BUY,SAB,1259600,44.619998931884766,56287655.68058396
2025-05-23,BUY,VIB,3707500,15.15999984741211,56290007.983431816
2025-05-23,BUY,BSR,5170800,10.869999885559082,56290905.30136128
2025-05-26,SELL,VIB,3707500,15.199999809265137,56269468.29391122
2025-05-26,SELL,BSR,5170800,10.899999618530273,56277175.4504551
2025-05-26,BUY,VHM,2161400,73.5,159101194.35000002
2025-05-26,BUY,GAS,2677200,59.34000015258789,159103345.98112106
2025-05-27,SELL,VHM,2161400,74.30000305175781,160351138.55617523
2025-05-27,SELL,GAS,2677200,60.0,160391052.0
2025-05-27,BUY,HPG,7541400,18.989999771118164,143426001.0503214
2025-05-27,BUY,VIC,3030900,47.25,143424840.0375
2025-05-28,SELL,HPG,7541400,19.030000686645508,143297577.90750104
2025-05-28,SELL,VRE,3791100,26.700000762939453,101070539.33304119
2025-05-28,BUY,MBB,3045500,18.450000762939453,56273761.5395174
2025-05-28,BUY,HDB,3274500,17.15999984741211,56274705.12960148
2025-05-29,SELL,MBB,3045500,18.3799991607666,55892323.01294851
2025-05-29,SELL,VIC,3030900,48.5,146778152.025
2025-05-29,BUY,ACB,7517900,21.299999237060547,160371461.16069394
2025-05-29,BUY,VRE,5791300,27.649999618530273,160369636.95498058
2025-05-30,SELL,SAB,1259600,43.9900016784668,55326691.40502548
2025-05-30,SELL,ACB,7517900,21.100000381469727,158389751.32854947
2025-05-30,SELL,VRE,5791300,27.5,159021858.875
2025-05-30,BUY,MBB,4454200,18.260000228881836,81455693.55901471
2025-05-30,BUY,VIB,5458700,14.899999618530273,81456629.85954772
